L	T	mean_abs_M	naive_se	block50_se	ratio	tau_int
32	1.50	0.986513	0.000088	0.000130	1.481	1.554
32	1.60	0.979522	0.000122	0.000270	2.213	2.469
32	1.70	0.969533	0.000158	0.000323	2.039	2.334
32	1.80	0.956390	0.000203	0.000396	1.954	2.570
32	1.90	0.937752	0.000283	0.000921	3.249	6.769
32	2.00	0.911536	0.000085	0.000327	3.845	7.731
32	2.05	0.893944	0.000101	0.000353	3.492	9.774
32	2.10	0.868813	0.000137	0.000737	5.369	19.926
32	2.15	0.834521	0.000209	0.002240	10.737	55.563
32	2.20	0.784436	0.000304	0.003967	13.044	106.681
32	2.25	0.707112	0.000467	0.007446	15.930	149.407
32	2.30	0.578569	0.000639	0.009407	14.713	160.221
32	2.35	0.423869	0.000678	0.010357	15.278	127.942
32	2.40	0.305467	0.000608	0.008191	13.463	93.702
32	2.45	0.247210	0.000528	0.005396	10.216	61.527
32	2.50	0.199342	0.000446	0.004129	9.256	41.234
32	2.55	0.165905	0.000385	0.003629	9.415	31.576
32	2.60	0.151562	0.000351	0.002352	6.700	23.782
32	2.70	0.118554	0.001260	0.006042	4.797	13.550
32	2.80	0.112382	0.001158	0.004726	4.081	10.116
32	2.90	0.094599	0.000969	0.003574	3.686	6.141
32	3.00	0.085688	0.000909	0.003146	3.462	6.287
32	3.10	0.076705	0.000824	0.002329	2.825	5.880
32	3.20	0.071473	0.000757	0.001963	2.592	3.836
32	3.30	0.064112	0.000708	0.001969	2.781	3.471
32	3.40	0.065117	0.000689	0.001698	2.463	3.139
32	3.50	0.063941	0.000674	0.001539	2.284	2.766
64	1.50	0.986475	0.000044	0.000068	1.569	1.427
64	1.60	0.979750	0.000059	0.000107	1.830	1.835
64	1.70	0.970069	0.000072	0.000152	2.108	1.991
64	1.80	0.956467	0.000103	0.000240	2.322	3.543
64	1.90	0.938586	0.000133	0.000413	3.110	4.624
64	2.00	0.911420	0.000043	0.000166	3.847	8.506
64	2.05	0.893046	0.000055	0.000297	5.430	15.411
64	2.10	0.869247	0.000069	0.000438	6.350	20.209
64	2.15	0.834584	0.000100	0.001038	10.410	52.166
64	2.20	0.783757	0.000175	0.002919	16.724	171.673
64	2.25	0.674777	0.000405	0.012580	31.080	516.439
64	2.30	0.462890	0.000588	0.017132	29.159	552.012
64	2.35	0.254215	0.000504	0.010408	20.652	291.066
64	2.40	0.164172	0.000367	0.006046	16.491	142.819
64	2.45	0.121637	0.000291	0.003060	10.532	70.419
64	2.50	0.097299	0.000230	0.001935	8.425	40.325
64	2.55	0.085005	0.000198	0.001629	8.215	32.831
64	2.60	0.077313	0.000186	0.001559	8.382	30.945
64	2.70	0.063519	0.000657	0.003151	4.798	13.420
64	2.80	0.052672	0.000557	0.002454	4.403	11.287
64	2.90	0.046922	0.000484	0.001659	3.431	7.441
64	3.00	0.046548	0.000483	0.001573	3.258	6.251
64	3.10	0.038456	0.000400	0.001156	2.890	4.444
64	3.20	0.035051	0.000387	0.001097	2.832	3.843
64	3.30	0.035746	0.000376	0.000976	2.598	3.984
64	3.40	0.032830	0.000350	0.000733	2.098	3.108
64	3.50	0.030700	0.000320	0.000524	1.638	2.113
