x exact RK4_Fourier__dt=0.02 RK4_centred__dt=0.02 Euler_Fourier_dt=0.005
0.0000000000e0 6.4949423318e-7 6.9387969707e-7 8.0990950227e-2 3.7438408482e-10
9.8174770425e-2 3.5722866671e-6 3.7899853716e-6 7.8020737072e-2 5.1191898796e-9
1.9634954085e-1 1.7601571120e-5 1.8562818693e-5 3.1447459328e-2 5.9325208535e-8
2.9452431127e-1 7.7694575048e-5 8.1510633398e-5 -4.7380375813e-2 5.8249936378e-7
3.9269908170e-1 3.0723032861e-4 3.2082804936e-4 -1.3121681060e-1 4.8434650398e-6
4.9087385212e-1 1.0883575740e-3 1.1317585856e-3 -1.8688154439e-1 3.4089357879e-5
5.8904862255e-1 3.4539277708e-3 3.5777115882e-3 -1.8712106161e-1 2.0299479162e-4
6.8722339297e-1 9.8194921542e-3 1.0134062410e-2 -1.1959069039e-1 1.0222582366e-3
7.8539816340e-1 2.5009150064e-2 2.5719006964e-2 9.9637889080e-3 4.3516793611e-3
8.8357293382e-1 5.7061471404e-2 5.8477777156e-2 1.8059236938e-1 1.5652700737e-2
9.8174770425e-1 1.1663291471e-1 1.1911713229e-1 3.6311395396e-1 4.7553014143e-2
1.0799224747e0 2.1356664265e-1 2.1736570169e-1 5.2821361996e-1 1.2196861864e-1
1.1780972451e0 3.5033202607e-1 3.5533090255e-1 6.5308741729e-1 2.6401524868e-1
1.2762720155e0 5.1482590294e-1 5.2035050752e-1 7.2516325062e-1 4.8211979329e-1
1.3744467859e0 6.7775864808e-1 6.8262012000e-1 7.4258757562e-1 7.4244581037e-1
1.4726215564e0 7.9932588019e-1 8.0220181327e-1 7.1215372233e-1 9.6383301006e-1
1.5707963268e0 8.4451391569e-1 8.4452485506e-1 6.4595909796e-1 1.0544209110e0
1.6689710972e0 7.9932588019e-1 7.9646899582e-1 5.5801622700e-1 9.7174847278e-1
1.7671458676e0 6.7775864808e-1 6.7290875268e-1 4.6149441045e-1 7.5418573950e-1
1.8653206381e0 5.1482590294e-1 5.0930346581e-1 3.6687340232e-1 4.9277510121e-1
1.9634954085e0 3.5033202607e-1 3.4532726939e-1 2.8118881134e-1 2.7097609948e-1
2.0616701789e0 2.1356664265e-1 2.0975736141e-1 2.0827285106e-1 1.2537044628e-1
2.1598449493e0 1.1663291471e-1 1.1413818681e-1 1.4944711688e-1 4.8788311041e-2
2.2580197198e0 5.7061471404e-2 5.5637023339e-2 1.0415765414e-1 1.5965096928e-2
2.3561944902e0 2.5009150064e-2 2.4294252227e-2 7.0589114551e-2 4.3918292306e-3
2.4543692606e0 9.8194921542e-3 9.5023884205e-3 4.6463358625e-2 1.0153704996e-3
2.5525440310e0 3.4539277708e-3 3.3291184636e-3 2.9730139293e-2 1.9724229580e-4
2.6507188015e0 1.0883575740e-3 1.0446357194e-3 1.8668653003e-2 3.2186015019e-5
2.7488935719e0 3.0723032861e-4 2.9356575931e-4 1.1605505230e-2 4.4108799141e-6
2.8470683423e0 7.7694575048e-5 7.3877124664e-5 6.9811385279e-3 5.0754826327e-7
2.9452431127e0 1.7601571120e-5 1.6646800216e-5 3.8534873874e-3 4.9026368564e-8
3.0434178832e0 3.5722866672e-6 3.3582459055e-6 2.0211341138e-3 3.9746853918e-9
3.1415926536e0 6.4949423323e-7 6.0644601433e-7 1.3461026235e-3 2.7031861696e-10
3.2397674240e0 1.0578849164e-7 9.8016366265e-8 1.1379361684e-3 1.5500304632e-11
3.3379421944e0 1.5436032319e-8 1.4175953624e-8 5.8802861366e-4 6.7106963318e-13
3.4361169649e0 2.0177486031e-9 1.8342768355e-9 -2.6164475505e-4 9.6593760983e-14
3.5342917353e0 2.3628302323e-10 2.1229464842e-10 -5.2996752880e-4 -6.5362325455e-14
3.6324665057e0 2.4787454641e-11 2.1971881321e-11 2.1652323215e-4 6.5640613721e-14
3.7306412761e0 2.3295319666e-12 2.0330141563e-12 1.0560230882e-3 -6.4887419884e-14
3.8288160466e0 1.9610355007e-13 1.6808358705e-13 6.5785981284e-4 6.4327843362e-14
3.9269908170e0 1.4788517633e-14 1.2432280542e-14 -8.7000593428e-4 -6.3833747346e-14
4.0251655874e0 9.6103680569e-16 8.0944031736e-16 -1.7086644966e-3 6.3298415838e-14
4.1233403578e0 5.5511151231e-17 2.9273207266e-17 -4.0839475791e-4 -6.2823352458e-14
4.2215151283e0 -2.7755575616e-17 1.1290327974e-18 1.9874948924e-3 6.2330110914e-14
4.3196898987e0 2.7755575616e-17 3.7984066292e-17 2.6152205400e-3 -6.1617038798e-14
4.4178646691e0 5.5511151231e-17 2.8943473748e-17 1.3636820959e-5 6.0627070113e-14
4.5160394395e0 5.5511151231e-17 6.5321596087e-17 -3.6224486599e-3 -5.9534129269e-14
4.6142142100e0 1.1102230246e-16 6.1672371747e-17 -4.1306532390e-3 5.9037323175e-14
4.7123889804e0 5.5511151231e-17 1.4166378390e-16 1.8634544017e-4 -5.7792263264e-14
4.8105637508e0 5.5511151231e-17 7.8653790751e-17 5.9418118087e-3 5.6950077432e-14
4.9087385212e0 5.5511151231e-17 6.1314582087e-17 7.1203733256e-3 -5.6259579903e-14
5.0069132917e0 0.0000000000e0 1.2994603888e-16 8.9627121867e-4 5.6234261706e-14
5.1050880621e0 0.0000000000e0 7.8401180518e-17 -8.6317234139e-3 -5.5926579486e-14
5.2032628325e0 2.7755575616e-17 9.0319774022e-18 -1.2867758557e-2 5.5599401269e-14
5.3014376029e0 8.3266726847e-17 1.2960902353e-16 -5.9462192925e-3 -5.5205332661e-14
5.3996123734e0 1.0026701691e-15 1.3242435462e-15 9.2089106989e-3 5.4981274295e-14
5.4977871438e0 1.4797191250e-14 1.7954609167e-14 2.1530371801e-2 -5.4660362285e-14
5.5959619142e0 1.9609314172e-13 2.3160564726e-13 1.9472000145e-2 5.4435748020e-14
5.6941366846e0 2.3294855628e-12 2.6896626701e-12 2.8838347953e-4 -5.4155906879e-14
5.7923114551e0 2.4787416585e-11 2.8082436320e-11 -2.6097513984e-2 5.3971239642e-14
5.8904862255e0 2.3628302673e-10 2.6343848367e-10 -4.2011721373e-2 -5.1353111080e-14
5.9886609959e0 2.0177485939e-9 2.2194411166e-9 -3.2993119512e-2 1.0792751691e-13
6.0868357663e0 1.5436032224e-8 1.6786581915e-8 2.1069190505e-3 1.1695973187e-12
6.1850105368e0 1.0578849156e-7 1.1394273877e-7 4.8319645395e-2 2.3280719450e-11
