method dt max_error
forward-euler 2.0000000000e-2 3.7204481842e-2
forward-euler 1.0000000000e-2 1.7867180340e-2
forward-euler 5.0000000000e-3 8.7621827993e-3
forward-euler 2.5000000000e-3 4.3396577486e-3
explicit-midpoint 2.0000000000e-2 7.0522701788e-4
explicit-midpoint 1.0000000000e-2 1.7530887044e-4
explicit-midpoint 5.0000000000e-3 4.3665402556e-5
explicit-midpoint 2.5000000000e-3 1.0893800705e-5
classical-rk4 2.0000000000e-2 2.9204624497e-7
classical-rk4 1.0000000000e-2 1.8180379868e-8
classical-rk4 5.0000000000e-3 1.1331980909e-9
classical-rk4 2.5000000000e-3 7.0716099643e-11
rk4-equal-weights 2.0000000000e-2 8.7445681381e-5
rk4-equal-weights 1.0000000000e-2 2.1768624601e-5
rk4-equal-weights 5.0000000000e-3 5.4366402852e-6
rk4-equal-weights 2.5000000000e-3 1.3588240336e-6
